time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
28/5/2023 0:00:00,4.2,3.1,4.1605,205.8312,"98 km WSW of Kurio, Japan",earthquake,271,0,129.5368,29.83,127.439,japan,"2023-05-28 00:00:00_98 km WSW of Kurio, Japan_earthquake_4.2_129.5368_29.83"
27/5/2023 0:00:00,4.2,3.1,4.1605,646.5168,"235 km E of Kuril’sk, Russia",earthquake,271,0,150.8604,45.4738,48.869,russia,"2023-05-27 00:00:00_235 km E of Kuril’sk, Russia_earthquake_4.2_150.8604_45.4738"
27/5/2023 0:00:00,4.4,2,4.1605,256.4272,None,earthquake,298,0,140.8207,35.6226,44.103,None,2023-05-27 00:00:00_None_earthquake_4.4_140.8207_35.6226
27/5/2023 0:00:00,4.8,3.1,4.1605,174.9176,"57 km WSW of Kurio, Japan",earthquake,354,0,129.912,30.0021,10,japan,"2023-05-27 00:00:00_57 km WSW of Kurio, Japan_earthquake_4.8_129.912_30.0021"
26/5/2023 0:00:00,6.1,5.6,4.863,233.0752,"12 km SE of Narutō, Japan",earthquake,679,0,140.5224,35.5235,42,japan,"2023-05-26 00:00:00_12 km SE of Narutō, Japan_earthquake_6.1_140.5224_35.5235"
26/5/2023 0:00:00,4.4,3.1,4.1605,244.3064,None,earthquake,298,0,126.1657,25.7118,10,None,2023-05-26 00:00:00_None_earthquake_4.4_126.1657_25.7118
26/5/2023 0:00:00,4.2,3.1,4.1605,239.7472,"18 km SE of Yokoshiba, Japan",earthquake,271,0,140.606,35.5159,40.543,japan,"2023-05-26 00:00:00_18 km SE of Yokoshiba, Japan_earthquake_4.2_140.606_35.5159"
26/5/2023 0:00:00,4.6,3.8,4.1605,249.5328,None,earthquake,326,0,140.7136,35.5823,30.409,None,2023-05-26 00:00:00_None_earthquake_4.6_140.7136_35.5823
25/5/2023 0:00:00,4.6,3.1,4.1605,54.1544,"Hokkaido, Japan region",earthquake,326,0,142.517,42.1166,66.774,japan region,"2023-05-25 00:00:00_Hokkaido, Japan region_earthquake_4.6_142.517_42.1166"
25/5/2023 0:00:00,4.4,3.1,4.1605,193.8216,"Izu Islands, Japan region",earthquake,298,0,141.8022,32.627,10,japan region,"2023-05-25 00:00:00_Izu Islands, Japan region_earthquake_4.4_141.8022_32.627"
25/5/2023 0:00:00,4.3,3.1,4.1605,213.2816,"57 km SE of Shinmachi, Japan",earthquake,284,0,140.8268,34.8432,50.753,japan,"2023-05-25 00:00:00_57 km SE of Shinmachi, Japan_earthquake_4.3_140.8268_34.8432"
