id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,intensity,damageAmountOrder,housesDestroyedAmountOrder,tsunamiEventId,eqMagMs,publish,deathsTotal,deathsAmountOrderTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,country,regionCode,minute,deaths,deathsAmountOrder,injuries,injuriesAmountOrder,housesDamagedAmountOrder,injuriesTotal,injuriesAmountOrderTotal,housesDamagedAmountOrderTotal,eqDepth,second,eqMagMw,eqMagMb,eqMagUnk,damageMillionsDollars,housesDestroyed,damageMillionsDollarsTotal,housesDestroyedTotal,housesDamaged,housesDamagedTotal,eqMagMl,volcanoEventId,eqMagMfa,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal
4383,1966,12,28,8.0,"CHILE:  TALTAL, CATALINA",-25.5,-70.7,7.8,8.0,1.0,3.0,1984.0,7.8,True,3.0,1.0,1.0,3.0,CHILE,160,18.0,3.0,1.0,6.0,1.0,,6.0,1.0,,47.0,7.4,,,,0.4,,0.4,,,,,,,,,,
4644,1973,10,5,5.0,"CHILE:  VALPARAISO, LA LIGUA, SANTIAGO",-32.5,-71.5,6.7,7.0,2.0,,2062.0,6.7,True,,,,,CHILE,160,47.0,,,,,,,,,14.0,51.1,,5.8,,,,,,,,,,,,,,
4755,1976,11,30,0.0,"CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA",-20.52,-68.92,7.3,8.0,2.0,,,,True,1.0,1.0,2.0,,CHILE,160,40.0,1.0,1.0,13.0,1.0,3.0,13.0,1.0,3.0,82.0,57.8,,7.3,7.3,,,,,,,,,,,,,
4991,1983,10,4,18.0,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563,7.3,7.0,2.0,1.0,2149.0,7.3,True,5.0,1.0,2.0,1.0,CHILE,160,52.0,5.0,1.0,12.0,1.0,,12.0,1.0,,15.0,13.3,,6.4,,1.0,40.0,1.0,40.0,,,,,,,,,
5742,1934,12,4,17.0,"CHILE:  IQUIQUE, PISAGUA, SAPIGA, NEGRERO",-19.5,-69.5,6.9,,2.0,3.0,1676.0,6.9,True,,,2.0,3.0,CHILE,160,24.0,,,,2.0,,,2.0,,130.0,38.0,,,,,,,,,,,,,,,,
5988,1687,7,12,,CHILE:  SANTIAGO,-32.8,-70.7,7.5,8.0,1.0,1.0,335.0,7.5,True,,1.0,1.0,1.0,CHILE,160,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6091,1930,12,29,8.0,CHILE:  NORTHERN,-28.5,-71.0,6.0,,,,1634.0,6.0,True,,,,,CHILE,160,26.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,
6357,1948,12,26,7.0,CHILE:  ANTOFAGASTA,-22.5,-69.0,7.0,7.0,,,1786.0,7.0,True,,,,,CHILE,160,12.0,,,,,,,,,100.0,21.0,,,,,,,,,,,,,,,,
6440,1972,6,8,18.0,CHILE:  CENTRAL,-30.5,-71.8,6.6,7.0,,,2048.0,6.6,True,,,,,CHILE,160,53.0,,,,,,,,,39.0,41.7,,6.2,,,,,,,,,,,,,,
6630,1967,12,21,2.0,CHILE:  NORTHERN,-21.7,-69.5,7.5,,2.0,2.0,1994.0,7.5,True,1.0,1.0,2.0,2.0,CHILE,160,25.0,1.0,1.0,,3.0,,,3.0,,33.0,23.0,,,,,,,,,,,,,,,,
10156,2015,9,16,22.0,CHILE:  CENTRAL,-31.573,-71.674,8.3,9.0,4.0,4.0,5590.0,,True,15.0,1.0,4.0,4.0,CHILE,160,55.0,7.0,1.0,14.0,1.0,4.0,14.0,1.0,4.0,22.0,26.0,8.3,,,600.0,2305.0,600.0,2305.0,10044.0,10044.0,,,,1.0,1.0,1.0,1.0
10162,2015,11,11,1.0,CHILE:  LA SERENA,-29.439,-72.105,6.9,7.0,,,5592.0,,True,,,,,CHILE,160,54.0,,,,,,,,,10.0,37.0,6.9,,,,,,,,,,,,,,,
10318,2017,8,2,7.0,CHILE:  SANTIAGO,-33.201,-70.614,5.4,,,,,,True,1.0,1.0,,,CHILE,160,15.0,1.0,1.0,,,,,,,99.0,0.0,5.4,,,,,,,,,,,,,,,
1090,1681,3,10,,CHILE,-18.5,-70.35,7.5,10.0,,,329.0,7.5,True,,,,,CHILE,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,1835,2,20,16.0,CHILE:  CONCEPCION,-36.83,-73.03,8.2,11.0,4.0,3.0,689.0,8.2,True,53.0,2.0,4.0,3.0,CHILE,160,22.0,50.0,1.0,500.0,3.0,,500.0,3.0,3.0,,,,,,,,,,,,,,,30.0,1.0,30.0,1.0
2040,1859,10,5,12.0,CHILE,-27.35,-70.35,7.6,10.0,1.0,3.0,888.0,7.6,True,10.0,1.0,2.0,3.0,CHILE,160,0.0,10.0,1.0,,,,,,,,,,,,0.93,339.0,,339.0,,,,,,,,,
3112,1918,5,20,17.0,CHILE:  NORTHERN,-28.5,-71.5,7.9,,,,1453.0,7.9,True,,,,,CHILE,160,55.0,,,,,,,,,80.0,10.0,,,,,,,,,,,,,,,,
