id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,eqDepth,damageAmountOrder,damageMillionsDollars,publish,housesDestroyedAmountOrderTotal,country,deathsAmountOrder,injuriesAmountOrderTotal,intensity
5524,1999,6.0,21.0,17.0,MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO,18.324,-101.539,6.3,69.0,3.0,,True,,MEXICO,,,
5609,2001,10.0,12.0,15.0,GUAM,12.686,144.98,7.0,37.0,2.0,,True,3.0,USA TERRITORY,,1.0,8.0
5695,2003,5.0,26.0,9.0,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,7.0,68.0,4.0,233.0,True,,JAPAN,,3.0,
4590,1972,1.0,25.0,2.0,TAIWAN,22.5,122.3,7.5,33.0,1.0,,True,1.0,TAIWAN,1.0,,6.0
7975,1967,12.0,2.0,20.0,CHINA:  HEBEI PROVINCE:  SHULU,37.717,115.217,5.7,25.0,2.0,,True,1.0,CHINA,,,7.0
7981,1834,4.0,11.0,,CHINA:  YUNNAN PROVINCE,24.9,103.0,5.0,,1.0,,True,,CHINA,1.0,,6.0
3505,1932,12.0,20.0,,NEVADA:  CEDAR MOUNTAIN,38.7,-117.8,7.2,,,,True,,USA,,,12.0
8047,1957,6.0,10.0,20.0,CHINA:  SHANXI PROVINCE,38.0,112.5,5.0,,1.0,,True,1.0,CHINA,,,6.0
7524,2007,5.0,29.0,9.0,INDONESIA: LABUHA,-1.065,127.343,6.1,24.0,1.0,,True,2.0,INDONESIA,,,
3561,1935,10.0,19.0,4.0,MONTANA:  HELENA,46.6,-112.0,6.2,,3.0,19.0,True,3.0,USA,1.0,3.0,8.0
4846,1979,10.0,12.0,10.0,NEW ZEALAND:  W OF NORTH ISLAND,-46.675,165.707,7.5,33.0,,,True,,NEW ZEALAND,,,5.0
7956,1657,4.0,21.0,,CHINA:  SICHUAN PROVINCE,31.5,103.6,6.0,,3.0,,True,3.0,CHINA,3.0,,8.0
2341,1884,12.0,25.0,21.0,"SPAIN:  ARENAS DEL REY, VEGA, ALHAMA, MALAGA",36.95,-3.983,6.7,,4.0,,True,4.0,SPAIN,3.0,4.0,9.0
2916,1910,12.0,13.0,11.0,TANZANIA: RUKWA,-7.842,30.955,7.3,,2.0,,True,,TANZANIA,,,
4213,1960,1.0,15.0,9.0,"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",-15.0,-75.0,7.0,150.0,1.0,,True,,PERU,2.0,,
6003,1360,11.0,22.0,,JAPAN:  KUMANONADA,33.4,136.2,7.0,,,,True,,JAPAN,,,
6498,1996,6.0,10.0,15.0,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,7.3,24.0,,,True,,USA,,,
8046,1956,12.0,31.0,21.0,CHINA:  HEBEI PROVINCE,40.5,115.5,5.0,,1.0,,True,1.0,CHINA,,,6.0
5554,2000,2.0,2.0,22.0,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,5.3,33.0,2.0,,True,2.0,IRAN,1.0,1.0,
5113,1986,10.0,11.0,9.0,"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA",37.931,28.574,5.5,5.0,1.0,,True,1.0,TURKEY,,1.0,
4058,1954,9.0,9.0,9.0,ALGERIA:  EL ASNAM,36.0,1.5,6.0,,,,True,,ALGERIA,,,10.0
5847,2005,2.0,15.0,11.0,INDIA:  KHASPUR,24.55,92.524,5.1,35.0,1.0,,True,,INDIA,,,
